population_definitions,0,1,2,n_samples,frac_2La
MLW_1_arabiensis_2015,0,0,41,41,1.0
TZA_1_arabiensis_2015,0,0,137,137,1.0
MAL_5_coluzzii_2004,0,0,11,11,1.0
UGA_2_arabiensis_2012,0,0,81,81,1.0
TZA_3_arabiensis_2012,0,0,40,40,1.0
TZA_2_arabiensis_2012,0,0,47,47,1.0
MAL_2_gambiae_2004,0,0,32,32,1.0
BUF_1_coluzzii_2012,2,0,80,82,0.975609756097561
MAL_5_coluzzii_2014,1,0,26,27,0.9629629629629629
BUF_1_coluzzii_2014,2,0,51,53,0.9622641509433962
MAL_3_coluzzii_2012,1,0,24,25,0.96
MAL_1_coluzzii_2004,1,0,24,25,0.96
BUF_1_gambiae_2014,7,0,39,46,0.8478260869565217
CMN_3_gambiae_2005,2,0,11,13,0.8461538461538461
BUF_2_gambiae_2004,1,2,10,13,0.8461538461538461
BUF_1_gambiae_2012,17,0,82,99,0.8282828282828283
GAM_1_coluzzii_2012,4,3,15,22,0.75
MAL_4_gambiae_2012,16,1,43,60,0.725
CMN_1_gambiae_2005,4,2,10,16,0.6875
MAL_5_gambiae_2014,12,0,21,33,0.6363636363636364
TZA_1_gambiae_2015,11,4,17,32,0.59375
GAM_1_intermediate_2011,29,0,39,68,0.5735294117647058
GUI_1_gambiae_2012,14,30,19,63,0.5396825396825397
CMN_2_coluzzii_2013,0,12,0,12,0.5
KEN_1_gambiae_2000,6,7,6,19,0.5
ANG_1_coluzzii_2009,4,77,0,81,0.47530864197530864
GAM_2_coluzzii_2012,83,18,71,172,0.46511627906976744
CMN_5_gambiae_2009,42,20,35,97,0.4639175257731959
GAB_1_gambiae_2000,5,64,0,69,0.463768115942029
CMN_7_gambiae_2009,23,58,15,96,0.4583333333333333
MAY_1_gambiae_2011,6,13,4,23,0.45652173913043476
GUI_1_coluzzii_2012,1,10,0,11,0.45454545454545453
UGA_2_gambiae_2012,53,18,41,112,0.44642857142857145
CMN_6_gambiae_2009,15,94,1,110,0.43636363636363634
KEN_1_intermediate_2012,26,10,18,54,0.42592592592592593
CMN_4_gambiae_2013,3,8,1,12,0.4166666666666667
GHA_1_coluzzii_2012,4,10,1,15,0.4
GHA_2_coluzzii_2012,9,12,4,25,0.4
CAR_1_coluzzii_1994,5,6,2,13,0.38461538461538464
GHA_1_gambiae_2012,15,15,6,36,0.375
CAR_1_gambiae_1994,24,20,9,53,0.3584905660377358
MOZ_1_gambiae_2004,37,18,16,71,0.352112676056338
UGA_1_gambiae_2012,52,20,23,95,0.3473684210526316
CIV_1_coluzzii_2012,36,33,11,80,0.34375
TZA_4_gambiae_2013,18,6,8,32,0.34375
GUI_2_gambiae_2012,31,22,9,62,0.3225806451612903
DRC_1_gambiae_2015,35,36,5,76,0.3026315789473684
GBU_1_intermediate_2010,44,43,6,93,0.2956989247311828
GHA_3_coluzzii_2012,14,8,2,24,0.25
