description,cross_id,FN,FP,TN,TP
phase2,18-5,52462749,530938,1846531,123336581
phase2,29-2,51168424,714464,2066324,123078854
phase2,36-9,53944629,208023,1792916,123777030
phase2,37-3,54999285,247028,1749469,123748305
phase2,42-4,55349482,119417,1148603,124022245
phase2,45-1,54051247,196013,1474033,123837019
phase2,46-9,52787669,283228,1913174,123590590
phase2,47-6,53913301,231437,1497438,123805832
phase2,73-2,53611476,156703,1539479,123889152
phase2,78-2,54387076,157935,1296058,123921582
phase2,80-2,53629149,276881,1456303,123812885
phase2,B5,54925162,99630,1330501,123880988
phase2,K2,54931595,96047,1476857,123874852
phase2,K4,55280576,75907,1245637,123931645
phase2,K6,54522203,73390,1272897,123897320
phase3,18-5,31085474,470500,1906969,144713856
phase3,29-2,29840246,657787,2123001,144407032
phase3,36-9,32432596,116141,1884798,145289063
phase3,37-3,33481368,150540,1845957,145266222
phase3,42-4,33958846,49268,1218752,145412881
phase3,45-1,32608471,100161,1569885,145279795
phase3,46-9,31268626,178092,2018310,145109633
phase3,47-6,32474572,137979,1590896,145244561
phase3,73-2,32107427,71830,1624352,145393201
phase3,78-2,32975058,64396,1389597,145333600
phase3,80-2,32205907,175213,1557971,145236127
phase3,B5,33540645,87827,1342304,145265505
phase3,K2,33504134,79692,1493212,145302313
phase3,K4,33861174,56000,1265544,145351047
phase3,K6,33074026,53932,1292355,145345497
r100,18-5,0,2377469,0,175799330
r100,29-2,0,2780788,0,174247278
r100,36-9,0,2000939,0,177721659
r100,37-3,0,1996497,0,178747590
r100,42-4,0,1268020,0,179371727
r100,45-1,0,1670046,0,177888266
r100,46-9,0,2196402,0,176378259
r100,47-6,0,1728875,0,177719133
r100,73-2,0,1696182,0,177500628
r100,78-2,0,1453993,0,178308658
r100,80-2,0,1733184,0,177442034
r100,B5,0,1430131,0,178806150
r100,K2,0,1572904,0,178806447
r100,K4,0,1321544,0,179212221
r100,K6,0,1346287,0,178419523
